x,y,z,vx,vy,vz,Kx,Ky,Kz
6.417172599999999560e-01,2.422477839999999938e-01,2.241365260000000026e-01,2.580000000000000031e-05,-1.530600000000000016e-03,9.000000000000000228e-06,3.000000000000000000e+02,3.000000000000000000e+02,3.000000000000000000e+02
6.417173029999999612e-01,2.422452330000000043e-01,2.241365409999999947e-01,-8.103000000000000176e-04,3.446999999999999760e-04,-1.338299999999999950e-03,3.119208986338123850e+02,3.060253526967783273e+02,3.066420803135664528e+02
6.417145589999999622e-01,2.422489329999999996e-01,2.241320649999999914e-01,-4.689000000000000134e-04,5.163000000000000271e-04,-1.227000000000000009e-03,3.119215242424992311e+02,3.060260803076751017e+02,3.066423183320094381e+02
6.417157399999999789e-01,2.422469539999999866e-01,2.241324510000000103e-01,5.942999999999999715e-04,-7.194000000000000308e-04,1.024200000000000067e-03,3.119220874511916008e+02,3.060267353402102799e+02,3.066425326062423551e+02
6.417165400000000020e-01,2.422465350000000128e-01,2.241354789999999986e-01,6.233999999999999741e-04,-2.939999999999999973e-05,1.306499999999999936e-03,3.119214553891622472e+02,3.060260002397520793e+02,3.066422921173487453e+02
6.417178180000000509e-01,2.422468560000000104e-01,2.241368059999999940e-01,-1.712999999999999896e-04,7.194000000000000308e-04,2.970000000000000024e-05,3.119210027444643174e+02,3.060254737809963217e+02,3.066421199219208233e+02
6.417159690000000527e-01,2.422489329999999996e-01,2.241355780000000020e-01,-2.685000000000000212e-04,8.220000000000000581e-05,-2.655000000000000025e-04,3.119213018025059228e+02,3.060258215678388751e+02,3.066422337287243636e+02
6.417169230000000502e-01,2.422471300000000050e-01,2.241359209999999880e-01,-2.999999999999999864e-07,7.079999999999999976e-05,-1.982999999999999954e-04,3.119214627611294759e+02,3.060260087661364423e+02,3.066422949676311873e+02
6.417159679999999700e-01,2.422491689999999864e-01,2.241349169999999891e-01,-5.961000000000000153e-04,5.969999999999999829e-04,-1.149300000000000018e-03,3.119215269326005000e+02,3.060260834022121799e+02,3.066423193805677556e+02
6.417149359999999580e-01,2.422491200000000122e-01,2.241320900000000060e-01,4.797000000000000049e-04,-9.083999999999999627e-04,4.080000000000000239e-05,3.119221409504423264e+02,3.060267975235310587e+02,3.066425529974522419e+02
6.417175670000000443e-01,2.422461409999999982e-01,2.241350530000000008e-01,7.083000000000000320e-04,-3.923999999999999971e-04,1.335599999999999938e-03,3.119216698196865423e+02,3.060262496207579943e+02,3.066423737139881496e+02
6.417172970000000198e-01,2.422478120000000068e-01,2.241365419999999942e-01,-2.424000000000000102e-04,1.797000000000000040e-04,-6.719999999999999357e-05,3.119210581135236566e+02,3.060255381788721252e+02,3.066421409853479076e+02
6.417167590000000255e-01,2.422467399999999882e-01,2.241348290000000076e-01,-6.329999999999999364e-05,-3.057000000000000038e-04,-6.405000000000000103e-04,3.119212066975884454e+02,3.060257109778747804e+02,3.066421975235946320e+02
6.417170859999999921e-01,2.422467929999999880e-01,2.241344070000000077e-01,-2.195999999999999981e-04,3.711000000000000214e-04,-3.428999999999999865e-04,3.119212436873673369e+02,3.060257540222066268e+02,3.066422115735980469e+02
6.417160269999999667e-01,2.422479770000000032e-01,2.241336859999999986e-01,-4.110000000000000155e-04,6.516000000000000091e-04,2.888999999999999750e-04,3.119215074442151376e+02,3.060260607721174324e+02,3.066423119311680239e+02
