time,Fx,Fy,Fz,Tx,Ty,Tz
1.763057274494491816e+09,-4.895000464520877781e-01,-1.420959422164384534e-01,-1.416329658697195404e+00,-5.147000358157827193e-01,2.437117194818691490e-01,2.598970262597689040e-01
1.763057274500462294e+09,-5.109105796509529895e-01,-1.242278334224722058e-01,-1.498368138263379556e+00,-5.118964393805414126e-01,2.445758889416183857e-01,2.596146940807025350e-01
1.763057274503436804e+09,-5.133040702544280354e-01,-1.149567492791100237e-01,-1.507286223451314244e+00,-5.105311730700214934e-01,2.448988971274547177e-01,2.604571807631204661e-01
1.763057274507431984e+09,-5.198962239878600622e-01,-1.243598594360013632e-01,-1.506242784364862697e+00,-5.127541153506409710e-01,2.465955541431347486e-01,2.622431011781481414e-01
1.763057274512448788e+09,-5.276853463337424222e-01,-1.288666968396479096e-01,-1.524630018306009083e+00,-5.148075286090417757e-01,2.481069735002539578e-01,2.642558357596931917e-01
1.763057274515440464e+09,-5.320638005552151828e-01,-1.397650254542951997e-01,-1.515266228121255887e+00,-5.168535828329711146e-01,2.491680945901752209e-01,2.647371990337114567e-01
1.763057274517437935e+09,-5.277691045369575784e-01,-1.290577331489634605e-01,-1.511670789072971477e+00,-5.148898702463041710e-01,2.485629600707212061e-01,2.644946449329039218e-01
1.763057274521452188e+09,-5.295825045108152329e-01,-1.296678991976511486e-01,-1.514367527370667155e+00,-5.148359717656046941e-01,2.485879924017619091e-01,2.637482648396015650e-01
1.763057274524491072e+09,-5.336916922006004205e-01,-1.261170518682334374e-01,-1.513061377062865143e+00,-5.141533999399394705e-01,2.491664845533964057e-01,2.629116145844958008e-01
1.763057274529497147e+09,-5.277942017291273880e-01,-1.153713276168629315e-01,-1.507717882373432294e+00,-5.116117058766124215e-01,2.480207987014108606e-01,2.612458262888763816e-01
1.763057274531526804e+09,-5.310451664429700624e-01,-1.170097664661933629e-01,-1.505269795639496699e+00,-5.115133509844175252e-01,2.484090279767117992e-01,2.606093490392814571e-01
1.763057274537486315e+09,-5.370136916501678792e-01,-1.251751677180791833e-01,-1.506434695972511228e+00,-5.121002780084846773e-01,2.489309167531738309e-01,2.592281207764977058e-01
1.763057274539598703e+09,-5.361627177897924090e-01,-1.208119941250870299e-01,-1.515452517978203240e+00,-5.109788009428171129e-01,2.484015883389414925e-01,2.586222230114469389e-01
1.763057274545453548e+09,-5.328419793721875797e-01,-1.207271527079102208e-01,-1.496855840331094756e+00,-5.096527963520505189e-01,2.480637311841369375e-01,2.562101705352027303e-01
1.763057274548523188e+09,-5.300092930196067531e-01,-1.259289235560561437e-01,-1.489035663405740229e+00,-5.102761423391765083e-01,2.476946745846687614e-01,2.550756721849175568e-01
1.763057274553538561e+09,-5.274221983809140868e-01,-1.031353072202479126e-01,-1.505221802756722349e+00,-5.059722206653060050e-01,2.468882038028620274e-01,2.532893652381938976e-01
1.763057274555434227e+09,-5.246634950246134022e-01,-1.002829613323837910e-01,-1.490796493433153014e+00,-5.048527854912815416e-01,2.467962485427065422e-01,2.526343036538250542e-01
1.763057274559467793e+09,-5.160050035727545836e-01,-9.915069400243263498e-02,-1.487919253683257281e+00,-5.034449604014729074e-01,2.451874660892067459e-01,2.514760351440636921e-01
1.763057274564430237e+09,-5.169831629682876128e-01,-1.068219452138789022e-01,-1.484177658034225633e+00,-5.035649640818895545e-01,2.446623750300797595e-01,2.500159094752749112e-01
1.763057274567447662e+09,-5.221563650769384113e-01,-1.101560519213699296e-01,-1.495958350136829207e+00,-5.033717429792279319e-01,2.444881537444709152e-01,2.489859437245643126e-01
1.763057274571470022e+09,-5.172864810093378285e-01,-9.940146140417592535e-02,-1.513079052951611603e+00,-5.004692781104109756e-01,2.420806051204505704e-01,2.472887427930614279e-01
1.763057274576455116e+09,-5.101528812059362705e-01,-1.089553641920485011e-01,-1.478786673959396891e+00,-5.007781206288425269e-01,2.409626058174001995e-01,2.453164223046215286e-01
1.763057274580444336e+09,-4.977338608224008420e-01,-9.262745955333223646e-02,-1.475874525861414766e+00,-4.974022180502181700e-01,2.387699226084716575e-01,2.441370076493179775e-01
1.763057274584436893e+09,-4.934911156540804367e-01,-8.929652389514455835e-02,-1.487304910454745555e+00,-4.969371980447199744e-01,2.376995616163976865e-01,2.438111407760251981e-01
1.763057274587429523e+09,-4.929577586008947465e-01,-9.111353271386431196e-02,-1.495759925627467180e+00,-4.974349932209017333e-01,2.373631449709093511e-01,2.438408190099735917e-01
1.763057274589506626e+09,-4.925821973559846856e-01,-1.035888787666321836e-01,-1.486379572976419539e+00,-4.996182566906158806e-01,2.375121651855642002e-01,2.440117240224677075e-01
1.763057274593469143e+09,-4.828855954654956983e-01,-1.051513625816476588e-01,-1.464043543498746880e+00,-4.995352548871901388e-01,2.364323411219139692e-01,2.441157972424340683e-01
1.763057274598432302e+09,-4.816887982667300561e-01,-1.161830290364758017e-01,-1.481080793964289821e+00,-5.008337701811991227e-01,2.352578601215021548e-01,2.435916544207346879e-01
1.763057274601459742e+09,-5.126272326077170316e-01,-1.030119917690483361e-01,-1.573494025302990984e+00,-4.992703483859299851e-01,2.375685869142832030e-01,2.430541600592885654e-01
1.763057274606450319e+09,-5.410265069690763928e-01,-7.569756571943170309e-02,-1.691282766392627757e+00,-4.944063548225426374e-01,2.382146623376713013e-01,2.409178091937057842e-01
1.763057274611438036e+09,-5.022462282230323316e-01,-9.934182665179873417e-02,-1.581305991068770789e+00,-4.952523799356366441e-01,2.337729054380553728e-01,2.383940379124564468e-01
1.763057274614451647e+09,-4.763015488259990660e-01,-1.073434172289960131e-01,-1.519340549679573771e+00,-4.950964813570790102e-01,2.307852985057735618e-01,2.374048805825749453e-01
1.763057274618447542e+09,-4.568391194616300832e-01,-1.047026263418403824e-01,-1.475497239999791654e+00,-4.940836770441755510e-01,2.286901463049113015e-01,2.371165978208842617e-01
1.763057274621479511e+09,-4.476592109235875139e-01,-9.625743174629772247e-02,-1.455189657752130161e+00,-4.926486286718096408e-01,2.279749290480673762e-01,2.373384629448784811e-01
1.763057274623497963e+09,-4.516038919237692628e-01,-9.994181636782445421e-02,-1.457934708756546405e+00,-4.934315984125214327e-01,2.286740222434028857e-01,2.376746969321612557e-01
1.763057274628485203e+09,-4.496788552110678183e-01,-1.036316059982645144e-01,-1.443818418222837741e+00,-4.941123895631801544e-01,2.289506971568832094e-01,2.381235882041016494e-01
1.763057274632482290e+09,-4.560889586215331470e-01,-1.017791741941118516e-01,-1.441535675473833322e+00,-4.938871454335243549e-01,2.299652190539148433e-01,2.376333444092333658e-01
1.763057274635453463e+09,-4.605244874923771214e-01,-1.087515324098661529e-01,-1.442656142671085329e+00,-4.953644885290656164e-01,2.304353499291292851e-01,2.371212045174487248e-01
1.763057274639477968e+09,-4.641162345348478491e-01,-1.058290597789847548e-01,-1.441740012596696818e+00,-4.952798032924560223e-01,2.307887845073680888e-01,2.366035533498435373e-01
1.763057274644447327e+09,-4.670480212492938987e-01,-1.046829369627154949e-01,-1.467605958087787821e+00,-4.961621192092360855e-01,2.304335945455178447e-01,2.371051179031934963e-01
1.763057274647450209e+09,-4.625495435598468985e-01,-8.950991756190680715e-02,-1.470131008268733996e+00,-4.940952094583822563e-01,2.297250295680420829e-01,2.376562484921619645e-01
1.763057274651455164e+09,-4.683715157360414105e-01,-9.906106669071904069e-02,-1.456874871809013650e+00,-4.961011357893260754e-01,2.313694253316646299e-01,2.384688636361173564e-01
1.763057274653495789e+09,-4.659513522673176533e-01,-1.008162359464428448e-01,-1.443235918407160590e+00,-4.963911808844532758e-01,2.315833725378861896e-01,2.387177812265305066e-01
1.763057274658434629e+09,-4.766898462689437288e-01,-1.036489379287079959e-01,-1.447649237730513239e+00,-4.966314188239961402e-01,2.338816508150720064e-01,2.390356255776420469e-01
