x,y,z,vx,vy,vz,Kx,Ky,Kz
5.493718389999999729e-01,2.989247800000000010e-01,1.487282950000000104e-01,-1.218600000000000022e-03,2.368799999999999899e-03,9.917999999999999299e-04,3.000000000000000000e+02,3.000000000000000000e+02,3.000000000000000000e+02
5.493698080000000150e-01,2.989287279999999769e-01,1.487299480000000007e-01,-2.126999999999999930e-04,9.401999999999999767e-04,7.514999999999999979e-04,3.498934415639754434e+02,3.234611587263648858e+02,3.618953891722076719e+02
5.493711300000000408e-01,2.989279140000000168e-01,1.487307999999999963e-01,3.990000000000000084e-05,-3.962999999999999834e-04,-5.240999999999999999e-04,3.498934415639754434e+02,3.234611587263648858e+02,3.618953891722076719e+02
5.493699410000000283e-01,2.989274069999999783e-01,1.487282010000000043e-01,1.509000000000000087e-04,-6.447000000000000040e-04,-2.393999999999999915e-04,3.498934415639754434e+02,3.234611587263648858e+02,3.618953891722076719e+02
5.493716330000000259e-01,2.989257650000000099e-01,1.487300020000000000e-01,5.730000000000000501e-04,-1.122000000000000032e-04,6.587999999999999672e-04,3.498934415639754434e+02,3.234611587263648858e+02,3.618953891722076719e+02
5.493718509999999666e-01,2.989270330000000087e-01,1.487303969999999864e-01,-5.885999999999999956e-04,1.299900000000000101e-03,3.419999999999999782e-05,3.498934415639754434e+02,3.234611587263648858e+02,3.618953891722076719e+02
5.493696710000000039e-01,2.989300979999999774e-01,1.487301159999999955e-01,-9.692999999999999793e-04,-2.195999999999999981e-04,-1.430099999999999904e-03,3.498934415639754434e+02,3.234611587263648858e+02,3.618953891722076719e+02
5.493686199999999742e-01,2.989263010000000054e-01,1.487256299999999976e-01,6.534000000000000528e-04,-7.946999999999999637e-04,3.285000000000000159e-04,3.498934415639754434e+02,3.234611587263648858e+02,3.618953891722076719e+02
5.493718490000000232e-01,2.989274490000000117e-01,1.487312110000000021e-01,8.505000000000000190e-04,5.270999999999999644e-04,1.446599999999999926e-03,3.498934415639754434e+02,3.234611587263648858e+02,3.618953891722076719e+02
5.493714549999999530e-01,2.989280579999999965e-01,1.487304520000000130e-01,-1.722000000000000115e-04,-9.899999999999999404e-05,-9.428999999999999881e-04,3.498934415639754434e+02,3.234611587263648858e+02,3.618953891722076719e+02
5.493712750000000478e-01,2.989271190000000189e-01,1.487280679999999911e-01,-8.421000000000000317e-04,9.270000000000000353e-05,-9.659999999999999533e-04,3.498934415639754434e+02,3.234611587263648858e+02,3.618953891722076719e+02
5.493686479999999595e-01,2.989283669999999726e-01,1.487272319999999870e-01,3.798000000000000161e-04,-4.440000000000000180e-05,7.146000000000000225e-04,3.498934415639754434e+02,3.234611587263648858e+02,3.618953891722076719e+02
5.493725409999999920e-01,2.989269709999999858e-01,1.487304499999999863e-01,9.480000000000000037e-05,-1.011000000000000044e-04,-2.208000000000000002e-04,3.498934415639754434e+02,3.234611587263648858e+02,3.618953891722076719e+02
5.493689640000000152e-01,2.989280300000000112e-01,1.487264960000000136e-01,-2.939999999999999905e-04,3.026999999999999851e-04,2.190000000000000106e-04,3.498934415639754434e+02,3.234611587263648858e+02,3.618953891722076719e+02
5.493715609999999527e-01,2.989279799999999820e-01,1.487311799999999906e-01,5.010000000000000347e-04,-6.660000000000000609e-05,1.126800000000000067e-03,3.498934415639754434e+02,3.234611587263648858e+02,3.618953891722076719e+02
