x,y,z,vx,vy,vz,Kx,Ky,Kz
5.231092010000000236e-01,3.222890319999999753e-01,2.254125369999999962e-01,-9.089999999999999773e-04,1.533000000000000074e-03,7.019999999999999873e-05,4.726182894621728110e+02,4.771847221419210427e+02,3.000000000000000000e+02
5.231076860000000162e-01,3.222915869999999905e-01,2.254126539999999901e-01,-6.021000000000000527e-04,6.497999999999999653e-04,-3.158999999999999807e-04,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231071940000000531e-01,3.222911980000000010e-01,2.254114839999999953e-01,2.598000000000000266e-04,-1.009200000000000028e-03,-4.787999999999999830e-04,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231085519999999489e-01,3.222882229999999848e-01,2.254110579999999975e-01,-3.600000000000000091e-05,-2.939999999999999905e-04,7.380000000000000492e-05,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231070740000000052e-01,3.222902180000000172e-01,2.254117300000000046e-01,-1.254000000000000123e-04,1.001999999999999961e-04,2.081999999999999921e-04,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231081340000000024e-01,3.222885569999999755e-01,2.254117519999999930e-01,3.029999999999999924e-04,1.412999999999999922e-04,-4.229999999999999819e-05,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231080839999999732e-01,3.222906890000000191e-01,2.254115889999999955e-01,1.778999999999999874e-04,2.814000000000000095e-04,4.269000000000000225e-04,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231087269999999956e-01,3.222894949999999814e-01,2.254131749999999934e-01,-1.242000000000000103e-04,5.841000000000000488e-04,4.671000000000000239e-04,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231076700000000246e-01,3.222926360000000212e-01,2.254131460000000087e-01,-2.409000000000000009e-04,5.190000000000000115e-05,-4.280999999999999975e-04,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231079239999999464e-01,3.222896679999999736e-01,2.254117479999999951e-01,2.531999999999999746e-04,-1.169099999999999957e-03,-8.976000000000000255e-04,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231085140000000244e-01,3.222887389999999908e-01,2.254101540000000015e-01,1.259999999999999964e-05,-2.495999999999999955e-04,-3.951000000000000085e-04,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231079659999999798e-01,3.222888360000000230e-01,2.254104309999999944e-01,-4.583999999999999750e-04,6.279000000000000293e-04,2.376000000000000020e-04,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231069860000000515e-01,3.222908320000000271e-01,2.254109460000000009e-01,-4.890000000000000276e-05,9.899999999999999404e-05,-6.030000000000000204e-05,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231078030000000378e-01,3.222891660000000158e-01,2.254102299999999892e-01,-1.212000000000000051e-04,-3.185999999999999921e-04,-1.019999999999999992e-04,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231065820000000421e-01,3.222897699999999754e-01,2.254106060000000133e-01,-1.644000000000000116e-04,-2.040000000000000119e-05,-2.273999999999999980e-04,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231072549999999932e-01,3.222890979999999961e-01,2.254094719999999996e-01,7.718999999999999516e-04,2.090999999999999868e-04,8.375999999999999765e-04,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231091549999999923e-01,3.222904670000000249e-01,2.254133979999999871e-01,1.325999999999999976e-04,5.894999999999999633e-04,1.122600000000000074e-03,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231076970000000381e-01,3.222910629999999887e-01,2.254132140000000006e-01,-7.025999999999999477e-04,-4.650000000000000270e-04,-1.267499999999999964e-03,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231068129999999483e-01,3.222889170000000081e-01,2.254091729999999905e-01,-2.549999999999999980e-05,-9.108000000000000210e-04,-5.841000000000000488e-04,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231076119999999996e-01,3.222880269999999769e-01,2.254112669999999985e-01,2.841000000000000209e-04,-1.563000000000000045e-04,3.285000000000000159e-04,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231077600000000327e-01,3.222883959999999770e-01,2.254102679999999970e-01,2.447999999999999872e-04,4.253999999999999860e-04,-9.720000000000000450e-05,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
5.231084280000000142e-01,3.222894450000000077e-01,2.254109430000000025e-01,2.508000000000000246e-04,4.755000000000000112e-04,7.427999999999999490e-04,9.452365789243456220e+02,9.543694442838420855e+02,3.213039791301080754e+02
